FrameIndex,HandType,JointID,LocalPosX,LocalPosY,LocalPosZ,LocalRotX,LocalRotY,LocalRotZ,LocalRotW,Timestamp,WorldPosX,WorldPosY,WorldPosZ,WorldRotX,WorldRotY,WorldRotZ,WorldRotW
4,Right,14,0.0000,0.0000,0.0275,-0.0004,0.0006,-0.0436,0.9990,0.000,,,,,,,
4,Right,15,0.0003,0.0011,0.0250,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
4,Right,16,0.0150,-0.0060,0.0348,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
4,Right,17,0.0025,-0.0005,0.0539,0.2696,0.1103,-0.0778,0.9535,0.000,,,,,,,
4,Right,18,0.0000,0.0000,0.0390,0.0725,0.0006,-0.0352,0.9967,0.000,,,,,,,
4,Right,19,0.0000,0.0000,0.0266,0.0452,-0.0295,-0.0068,0.9985,0.000,,,,,,,
4,Right,20,0.0003,0.0016,0.0243,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
4,Right,21,0.0230,-0.0094,0.0341,0.0183,0.1403,-0.2070,0.9681,0.000,,,,,,,
4,Right,22,0.0000,0.0000,0.0457,0.1856,0.0036,0.0843,0.9790,0.000,,,,,,,
4,Right,23,0.0000,0.0000,0.0307,0.1262,0.0372,-0.0495,0.9901,0.000,,,,,,,
4,Right,24,0.0000,0.0000,0.0203,0.0037,-0.0492,0.0007,0.9988,0.000,,,,,,,
4,Right,25,-0.0002,0.0012,0.0219,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
5,Left,0,0.0030,-0.0048,0.0646,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
5,Left,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.000,0.4337,-0.2095,0.0095,-0.0743,-0.5922,-0.7978,0.0858
5,Left,2,0.0315,-0.0136,0.0332,-0.1501,0.3537,-0.5173,0.7647,0.000,,,,,,,
5,Left,3,0.0000,0.0000,0.0325,0.1615,-0.0558,0.0825,0.9818,0.000,,,,,,,
5,Left,4,0.0000,0.0000,0.0338,0.0788,0.0537,-0.0802,0.9922,0.000,,,,,,,
5,Left,5,-0.0007,0.0010,0.0246,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
5,Left,6,0.0205,-0.0082,0.0358,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
5,Left,7,0.0031,0.0009,0.0602,0.1136,-0.0503,-0.0297,0.9918,0.000,,,,,,,
5,Left,8,0.0000,0.0000,0.0379,0.2330,-0.0010,0.0263,0.9721,0.000,,,,,,,
5,Left,9,0.0000,0.0000,0.0243,0.1398,-0.0235,0.0170,0.9898,0.000,,,,,,,
5,Left,10,-0.0003,0.0010,0.0224,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
5,Left,11,0.0042,-0.0070,0.0337,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
5,Left,12,-0.0025,0.0045,0.0620,0.1625,-0.1138,0.0218,0.9799,0.000,,,,,,,
5,Left,13,0.0000,0.0000,0.0429,0.2777,-0.0011,0.0126,0.9606,0.000,,,,,,,
5,Left,14,0.0000,0.0000,0.0275,0.1260,0.0050,0.0557,0.9905,0.000,,,,,,,
5,Left,15,-0.0003,0.0011,0.0250,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
5,Left,16,-0.0150,-0.0060,0.0348,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
5,Left,17,-0.0025,-0.0005,0.0539,0.1763,-0.1363,0.0699,0.9724,0.000,,,,,,,
5,Left,18,0.0000,0.0000,0.0390,0.2377,0.0051,0.0386,0.9706,0.000,,,,,,,
5,Left,19,0.0000,0.0000,0.0266,0.1273,0.0297,0.0106,0.9914,0.000,,,,,,,
5,Left,20,-0.0003,0.0016,0.0243,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
5,Left,21,-0.0230,-0.0094,0.0341,0.0183,-0.1403,0.2070,0.9681,0.000,,,,,,,
5,Left,22,0.0000,0.0000,0.0457,0.1778,-0.0575,-0.0752,0.9795,0.000,,,,,,,
5,Left,23,0.0000,0.0000,0.0307,0.2043,-0.0336,0.0559,0.9767,0.000,,,,,,,
5,Left,24,0.0000,0.0000,0.0203,0.0353,0.0491,-0.0009,0.9982,0.000,,,,,,,
5,Left,25,0.0002,0.0012,0.0219,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
5,Right,0,-0.0027,-0.0051,0.0649,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
5,Right,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.000,-0.0449,-0.3027,0.1074,0.0008,0.5904,0.8027,-0.0845
5,Right,2,-0.0304,-0.0158,0.0343,-0.1110,-0.3470,0.5583,0.7454,0.000,,,,,,,
5,Right,3,0.0000,0.0000,0.0325,0.2391,0.0483,-0.0813,0.9664,0.000,,,,,,,
5,Right,4,0.0000,0.0000,0.0338,0.1374,-0.0484,0.0784,0.9862,0.000,,,,,,,
5,Right,5,0.0007,0.0010,0.0246,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
5,Right,6,-0.0199,-0.0093,0.0364,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
5,Right,7,-0.0036,0.0020,0.0596,0.2376,0.0906,0.0198,0.9669,0.000,,,,,,,
5,Right,8,0.0000,0.0000,0.0379,0.1361,0.0036,-0.0263,0.9903,0.000,,,,,,,
5,Right,9,0.0000,0.0000,0.0243,0.0636,0.0249,-0.0167,0.9975,0.000,,,,,,,
5,Right,10,0.0003,0.0010,0.0224,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
5,Right,11,-0.0037,-0.0076,0.0342,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
5,Right,12,0.0020,0.0050,0.0614,0.2890,0.1009,-0.0334,0.9514,0.000,,,,,,,
5,Right,13,0.0000,0.0000,0.0429,0.0864,0.0034,-0.0118,0.9962,0.000,,,,,,,
5,Right,14,0.0000,0.0000,0.0275,-0.0004,0.0006,-0.0436,0.9990,0.000,,,,,,,
5,Right,15,0.0003,0.0011,0.0250,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
5,Right,16,0.0150,-0.0060,0.0348,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
5,Right,17,0.0025,-0.0005,0.0539,0.2696,0.1103,-0.0778,0.9535,0.000,,,,,,,
5,Right,18,0.0000,0.0000,0.0390,0.0725,0.0006,-0.0352,0.9967,0.000,,,,,,,
5,Right,19,0.0000,0.0000,0.0266,0.0452,-0.0295,-0.0068,0.9985,0.000,,,,,,,
5,Right,20,0.0003,0.0016,0.0243,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
5,Right,21,0.0230,-0.0094,0.0341,0.0183,0.1403,-0.2070,0.9681,0.000,,,,,,,
5,Right,22,0.0000,0.0000,0.0457,0.1856,0.0036,0.0843,0.9790,0.000,,,,,,,
5,Right,23,0.0000,0.0000,0.0307,0.1262,0.0372,-0.0495,0.9901,0.000,,,,,,,
5,Right,24,0.0000,0.0000,0.0203,0.0037,-0.0492,0.0007,0.9988,0.000,,,,,,,
5,Right,25,-0.0002,0.0012,0.0219,0.0000,0.0000,0.0000,1.0000,0.000,,,,,,,
6,Left,0,0.0030,-0.0048,0.0646,0.0000,0.0000,0.0000,1.0000,0.001,,,,,,,
6,Left,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.001,0.4337,-0.2095,0.0094,-0.0743,-0.5922,-0.7978,0.0858
6,Left,2,0.0315,-0.0136,0.0332,-0.1501,0.3537,-0.5173,0.7647,0.001,,,,,,,
6,Left,3,0.0000,0.0000,0.0325,0.1615,-0.0558,0.0825,0.9818,0.001,,,,,,,
6,Left,4,0.0000,0.0000,0.0338,0.0788,0.0537,-0.0802,0.9922,0.001,,,,,,,
6,Left,5,-0.0007,0.0010,0.0246,0.0000,0.0000,0.0000,1.0000,0.001,,,,,,,
6,Left,6,0.0205,-0.0082,0.0358,0.0000,0.0000,0.0000,1.0000,0.001,,,,,,,
6,Left,7,0.0031,0.0009,0.0602,0.1136,-0.0503,-0.0297,0.9918,0.001,,,,,,,
6,Left,8,0.0000,0.0000,0.0379,0.2330,-0.0010,0.0263,0.9721,0.001,,,,,,,
6,Left,9,0.0000,0.0000,0.0243,0.1398,-0.0235,0.0170,0.9898,0.001,,,,,,,
6,Left,10,-0.0003,0.0010,0.0224,0.0000,0.0000,0.0000,1.0000,0.001,,,,,,,
6,Left,11,0.0042,-0.0070,0.0337,0.0000,0.0000,0.0000,1.0000,0.001,,,,,,,
6,Left,12,-0.0025,0.0045,0.0620,0.1625,-0.1138,0.0218,0.9799,0.001,,,,,,,
6,Left,13,0.0000,0.0000,0.0429,0.2777,-0.0011,0.0126,0.9606,0.001,,,,,,,
6,Left,14,0.0000,0.0000,0.0275,0.1260,0.0050,0.0557,0.9905,0.001,,,,,,,
6,Left,15,-0.0003,0.0011,0.0250,0.0000,0.0000,0.0000,1.0000,0.001,,,,,,,
6,Left,16,-0.0150,-0.0060,0.0348,0.0000,0.0000,0.0000,1.0000,0.001,,,,,,,
6,Left,17,-0.0025,-0.0005,0.0539,0.1763,-0.1363,0.0699,0.9724,0.001,,,,,,,
6,Left,18,0.0000,0.0000,0.0390,0.2377,0.0051,0.0386,0.9706,0.001,,,,,,,
6,Left,19,0.0000,0.0000,0.0266,0.1273,0.0297,0.0106,0.9914,0.001,,,,,,,
6,Left,20,-0.0003,0.0016,0.0243,0.0000,0.0000,0.0000,1.0000,0.001,,,,,,,
6,Left,21,-0.0230,-0.0094,0.0341,0.0183,-0.1403,0.2070,0.9681,0.001,,,,,,,
6,Left,22,0.0000,0.0000,0.0457,0.1778,-0.0575,-0.0752,0.9795,0.001,,,,,,,
6,Left,23,0.0000,0.0000,0.0307,0.2043,-0.0336,0.0559,0.9767,0.001,,,,,,,
6,Left,24,0.0000,0.0000,0.0203,0.0353,0.0491,-0.0009,0.9982,0.001,,,,,,,
6,Left,25,0.0002,0.0012,0.0219,0.0000,0.0000,0.0000,1.0000,0.001,,,,,,,
6,Right,0,-0.0027,-0.0051,0.0649,0.0000,0.0000,0.0000,1.0000,0.001,,,,,,,
6,Right,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.001,-0.0449,-0.3027,0.1074,0.0008,0.5904,0.8027,-0.0845
6,Right,2,-0.0304,-0.0158,0.0343,-0.1110,-0.3470,0.5583,0.7454,0.001,,,,,,,
6,Right,3,0.0000,0.0000,0.0325,0.2391,0.0483,-0.0813,0.9664,0.001,,,,,,,
6,Right,4,0.0000,0.0000,0.0338,0.1374,-0.0484,0.0784,0.9862,0.001,,,,,,,
6,Right,5,0.0007,0.0010,0.0246,0.0000,0.0000,0.0000,1.0000,0.001,,,,,,,
6,Right,6,-0.0199,-0.0093,0.0364,0.0000,0.0000,0.0000,1.0000,0.001,,,,,,,
6,Right,7,-0.0036,0.0020,0.0596,0.2376,0.0906,0.0198,0.9669,0.001,,,,,,,
6,Right,8,0.0000,0.0000,0.0379,0.1361,0.0036,-0.0263,0.9903,0.001,,,,,,,
6,Right,9,0.0000,0.0000,0.0243,0.0636,0.0249,-0.0167,0.9975,0.001,,,,,,,
6,Right,10,0.0003,0.0010,0.0224,0.0000,0.0000,0.0000,1.0000,0.001,,,,,,,
6,Right,11,-0.0037,-0.0076,0.0342,0.0000,0.0000,0.0000,1.0000,0.001,,,,,,,
6,Right,12,0.0020,0.0050,0.0614,0.2890,0.1009,-0.0334,0.9514,0.001,,,,,,,
6,Right,13,0.0000,0.0000,0.0429,0.0864,0.0034,-0.0118,0.9962,0.001,,,,,,,
6,Right,14,0.0000,0.0000,0.0275,-0.0004,0.0006,-0.0436,0.9990,0.001,,,,,,,
6,Right,15,0.0003,0.0011,0.0250,0.0000,0.0000,0.0000,1.0000,0.001,,,,,,,
6,Right,16,0.0150,-0.0060,0.0348,0.0000,0.0000,0.0000,1.0000,0.001,,,,,,,
6,Right,17,0.0025,-0.0005,0.0539,0.2696,0.1103,-0.0778,0.9535,0.001,,,,,,,
6,Right,18,0.0000,0.0000,0.0390,0.0725,0.0006,-0.0352,0.9967,0.001,,,,,,,
6,Right,19,0.0000,0.0000,0.0266,0.0452,-0.0295,-0.0068,0.9985,0.001,,,,,,,
6,Right,20,0.0003,0.0016,0.0243,0.0000,0.0000,0.0000,1.0000,0.001,,,,,,,
6,Right,21,0.0230,-0.0094,0.0341,0.0183,0.1403,-0.2070,0.9681,0.001,,,,,,,
6,Right,22,0.0000,0.0000,0.0457,0.1856,0.0036,0.0843,0.9790,0.001,,,,,,,
6,Right,23,0.0000,0.0000,0.0307,0.1262,0.0372,-0.0495,0.9901,0.001,,,,,,,
6,Right,24,0.0000,0.0000,0.0203,0.0037,-0.0492,0.0007,0.9988,0.001,,,,,,,
6,Right,25,-0.0002,0.0012,0.0219,0.0000,0.0000,0.0000,1.0000,0.001,,,,,,,
7,Left,0,0.0030,-0.0048,0.0646,0.0000,0.0000,0.0000,1.0000,0.001,,,,,,,
7,Left,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.001,0.4337,-0.2095,0.0094,-0.0743,-0.5922,-0.7978,0.0858
7,Left,2,0.0315,-0.0136,0.0332,-0.1501,0.3537,-0.5173,0.7647,0.001,,,,,,,
7,Left,3,0.0000,0.0000,0.0325,0.1615,-0.0558,0.0825,0.9818,0.001,,,,,,,
7,Left,4,0.0000,0.0000,0.0338,0.0788,0.0537,-0.0802,0.9922,0.001,,,,,,,
7,Left,5,-0.0007,0.0010,0.0246,0.0000,0.0000,0.0000,1.0000,0.001,,,,,,,
7,Left,6,0.0205,-0.0082,0.0358,0.0000,0.0000,0.0000,1.0000,0.001,,,,,,,
7,Left,7,0.0031,0.0009,0.0602,0.1136,-0.0503,-0.0297,0.9918,0.001,,,,,,,
7,Left,8,0.0000,0.0000,0.0379,0.2330,-0.0010,0.0263,0.9721,0.001,,,,,,,
7,Left,9,0.0000,0.0000,0.0243,0.1398,-0.0235,0.0170,0.9898,0.001,,,,,,,
7,Left,10,-0.0003,0.0010,0.0224,0.0000,0.0000,0.0000,1.0000,0.001,,,,,,,
7,Left,11,0.0042,-0.0070,0.0337,0.0000,0.0000,0.0000,1.0000,0.001,,,,,,,
7,Left,12,-0.0025,0.0045,0.0620,0.1625,-0.1139,0.0218,0.9799,0.001,,,,,,,
7,Left,13,0.0000,0.0000,0.0429,0.2777,-0.0011,0.0126,0.9606,0.001,,,,,,,
7,Left,14,0.0000,0.0000,0.0275,0.1260,0.0050,0.0557,0.9905,0.001,,,,,,,
7,Left,15,-0.0003,0.0011,0.0250,0.0000,0.0000,0.0000,1.0000,0.001,,,,,,,
7,Left,16,-0.0150,-0.0060,0.0348,0.0000,0.0000,0.0000,1.0000,0.001,,,,,,,
7,Left,17,-0.0025,-0.0005,0.0539,0.1762,-0.1363,0.0699,0.9724,0.001,,,,,,,
7,Left,18,0.0000,0.0000,0.0390,0.2377,0.0051,0.0386,0.9706,0.001,,,,,,,
7,Left,19,0.0000,0.0000,0.0266,0.1273,0.0297,0.0106,0.9914,0.001,,,,,,,
7,Left,20,-0.0003,0.0016,0.0243,0.0000,0.0000,0.0000,1.0000,0.001,,,,,,,
7,Left,21,-0.0230,-0.0094,0.0341,0.0183,-0.1403,0.2070,0.9681,0.001,,,,,,,
7,Left,22,0.0000,0.0000,0.0457,0.1778,-0.0575,-0.0752,0.9795,0.001,,,,,,,
7,Left,23,0.0000,0.0000,0.0307,0.2043,-0.0336,0.0559,0.9767,0.001,,,,,,,
7,Left,24,0.0000,0.0000,0.0203,0.0353,0.0491,-0.0009,0.9982,0.001,,,,,,,
7,Left,25,0.0002,0.0012,0.0219,0.0000,0.0000,0.0000,1.0000,0.001,,,,,,,
7,Right,0,-0.0027,-0.0051,0.0649,0.0000,0.0000,0.0000,1.0000,0.001,,,,,,,
7,Right,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.001,-0.0449,-0.3027,0.1074,0.0008,0.5904,0.8027,-0.0845
7,Right,2,-0.0304,-0.0158,0.0343,-0.1110,-0.3470,0.5583,0.7454,0.001,,,,,,,
7,Right,3,0.0000,0.0000,0.0325,0.2391,0.0483,-0.0813,0.9664,0.001,,,,,,,
7,Right,4,0.0000,0.0000,0.0338,0.1374,-0.0484,0.0784,0.9862,0.001,,,,,,,
7,Right,5,0.0007,0.0010,0.0246,0.0000,0.0000,0.0000,1.0000,0.001,,,,,,,
7,Right,6,-0.0199,-0.0093,0.0364,0.0000,0.0000,0.0000,1.0000,0.001,,,,,,,
7,Right,7,-0.0036,0.0020,0.0596,0.2376,0.0906,0.0198,0.9669,0.001,,,,,,,
7,Right,8,0.0000,0.0000,0.0379,0.1361,0.0036,-0.0263,0.9903,0.001,,,,,,,
7,Right,9,0.0000,0.0000,0.0243,0.0636,0.0249,-0.0167,0.9975,0.001,,,,,,,
7,Right,10,0.0003,0.0010,0.0224,0.0000,0.0000,0.0000,1.0000,0.001,,,,,,,
7,Right,11,-0.0037,-0.0076,0.0342,0.0000,0.0000,0.0000,1.0000,0.001,,,,,,,
7,Right,12,0.0020,0.0050,0.0614,0.2890,0.1009,-0.0334,0.9514,0.001,,,,,,,
7,Right,13,0.0000,0.0000,0.0429,0.0864,0.0034,-0.0118,0.9962,0.001,,,,,,,
7,Right,14,0.0000,0.0000,0.0275,-0.0004,0.0006,-0.0436,0.9990,0.001,,,,,,,
7,Right,15,0.0003,0.0011,0.0250,0.0000,0.0000,0.0000,1.0000,0.001,,,,,,,
7,Right,16,0.0150,-0.0060,0.0348,0.0000,0.0000,0.0000,1.0000,0.001,,,,,,,
7,Right,17,0.0025,-0.0005,0.0539,0.2696,0.1103,-0.0778,0.9535,0.001,,,,,,,
7,Right,18,0.0000,0.0000,0.0390,0.0725,0.0006,-0.0352,0.9967,0.001,,,,,,,
7,Right,19,0.0000,0.0000,0.0266,0.0452,-0.0295,-0.0068,0.9985,0.001,,,,,,,
7,Right,20,0.0003,0.0016,0.0243,0.0000,0.0000,0.0000,1.0000,0.001,,,,,,,
7,Right,21,0.0230,-0.0094,0.0341,0.0183,0.1403,-0.2070,0.9681,0.001,,,,,,,
7,Right,22,0.0000,0.0000,0.0457,0.1856,0.0036,0.0843,0.9790,0.001,,,,,,,
7,Right,23,0.0000,0.0000,0.0307,0.1262,0.0372,-0.0495,0.9901,0.001,,,,,,,
7,Right,24,0.0000,0.0000,0.0203,0.0037,-0.0492,0.0007,0.9988,0.001,,,,,,,
7,Right,25,-0.0002,0.0012,0.0219,0.0000,0.0000,0.0000,1.0000,0.001,,,,,,,
8,Left,0,0.0030,-0.0048,0.0646,0.0000,0.0000,0.0000,1.0000,0.001,,,,,,,
8,Left,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.001,0.4337,-0.2095,0.0094,-0.0743,-0.5922,-0.7978,0.0858
8,Left,2,0.0315,-0.0136,0.0332,-0.1501,0.3537,-0.5173,0.7647,0.001,,,,,,,
8,Left,3,0.0000,0.0000,0.0325,0.1615,-0.0558,0.0825,0.9818,0.001,,,,,,,
8,Left,4,0.0000,0.0000,0.0338,0.0788,0.0537,-0.0802,0.9922,0.001,,,,,,,
8,Left,5,-0.0007,0.0010,0.0246,0.0000,0.0000,0.0000,1.0000,0.001,,,,,,,
8,Left,6,0.0205,-0.0082,0.0358,0.0000,0.0000,0.0000,1.0000,0.001,,,,,,,
8,Left,7,0.0031,0.0009,0.0602,0.1136,-0.0503,-0.0297,0.9918,0.001,,,,,,,
8,Left,8,0.0000,0.0000,0.0379,0.2330,-0.0010,0.0263,0.9721,0.001,,,,,,,
8,Left,9,0.0000,0.0000,0.0243,0.1398,-0.0235,0.0170,0.9898,0.001,,,,,,,
8,Left,10,-0.0003,0.0010,0.0224,0.0000,0.0000,0.0000,1.0000,0.001,,,,,,,
8,Left,11,0.0042,-0.0070,0.0337,0.0000,0.0000,0.0000,1.0000,0.001,,,,,,,
8,Left,12,-0.0025,0.0045,0.0620,0.1625,-0.1139,0.0218,0.9799,0.001,,,,,,,
8,Left,13,0.0000,0.0000,0.0429,0.2777,-0.0011,0.0126,0.9606,0.001,,,,,,,
8,Left,14,0.0000,0.0000,0.0275,0.1260,0.0050,0.0557,0.9905,0.001,,,,,,,
8,Left,15,-0.0003,0.0011,0.0250,0.0000,0.0000,0.0000,1.0000,0.001,,,,,,,
8,Left,16,-0.0150,-0.0060,0.0348,0.0000,0.0000,0.0000,1.0000,0.001,,,,,,,
8,Left,17,-0.0025,-0.0005,0.0539,0.1762,-0.1363,0.0699,0.9724,0.001,,,,,,,
8,Left,18,0.0000,0.0000,0.0390,0.2377,0.0051,0.0386,0.9706,0.001,,,,,,,
8,Left,19,0.0000,0.0000,0.0266,0.1273,0.0297,0.0106,0.9914,0.001,,,,,,,
8,Left,20,-0.0003,0.0016,0.0243,0.0000,0.0000,0.0000,1.0000,0.001,,,,,,,
8,Left,21,-0.0230,-0.0094,0.0341,0.0183,-0.1403,0.2070,0.9681,0.001,,,,,,,
8,Left,22,0.0000,0.0000,0.0457,0.1778,-0.0575,-0.0752,0.9795,0.001,,,,,,,
8,Left,23,0.0000,0.0000,0.0307,0.2044,-0.0336,0.0559,0.9767,0.001,,,,,,,
8,Left,24,0.0000,0.0000,0.0203,0.0353,0.0491,-0.0009,0.9982,0.001,,,,,,,
8,Left,25,0.0002,0.0012,0.0219,0.0000,0.0000,0.0000,1.0000,0.001,,,,,,,
8,Right,0,-0.0027,-0.0051,0.0649,0.0000,0.0000,0.0000,1.0000,0.001,,,,,,,
8,Right,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.001,-0.0449,-0.3027,0.1074,0.0008,0.5904,0.8027,-0.0845
8,Right,2,-0.0304,-0.0158,0.0343,-0.1110,-0.3470,0.5583,0.7454,0.001,,,,,,,
8,Right,3,0.0000,0.0000,0.0325,0.2391,0.0483,-0.0813,0.9664,0.001,,,,,,,
8,Right,4,0.0000,0.0000,0.0338,0.1374,-0.0484,0.0784,0.9862,0.001,,,,,,,
8,Right,5,0.0007,0.0010,0.0246,0.0000,0.0000,0.0000,1.0000,0.001,,,,,,,
8,Right,6,-0.0199,-0.0093,0.0364,0.0000,0.0000,0.0000,1.0000,0.001,,,,,,,
8,Right,7,-0.0036,0.0020,0.0596,0.2376,0.0906,0.0198,0.9669,0.001,,,,,,,
8,Right,8,0.0000,0.0000,0.0379,0.1361,0.0036,-0.0263,0.9903,0.001,,,,,,,
8,Right,9,0.0000,0.0000,0.0243,0.0636,0.0249,-0.0167,0.9975,0.001,,,,,,,
8,Right,10,0.0003,0.0010,0.0224,0.0000,0.0000,0.0000,1.0000,0.001,,,,,,,
8,Right,11,-0.0037,-0.0076,0.0342,0.0000,0.0000,0.0000,1.0000,0.001,,,,,,,
8,Right,12,0.0020,0.0050,0.0614,0.2890,0.1009,-0.0334,0.9514,0.001,,,,,,,
8,Right,13,0.0000,0.0000,0.0429,0.0864,0.0034,-0.0118,0.9962,0.001,,,,,,,
8,Right,14,0.0000,0.0000,0.0275,-0.0004,0.0006,-0.0436,0.9990,0.001,,,,,,,
8,Right,15,0.0003,0.0011,0.0250,0.0000,0.0000,0.0000,1.0000,0.001,,,,,,,
8,Right,16,0.0150,-0.0060,0.0348,0.0000,0.0000,0.0000,1.0000,0.001,,,,,,,
8,Right,17,0.0025,-0.0005,0.0539,0.2696,0.1103,-0.0778,0.9535,0.001,,,,,,,
8,Right,18,0.0000,0.0000,0.0390,0.0725,0.0006,-0.0352,0.9967,0.001,,,,,,,
8,Right,19,0.0000,0.0000,0.0266,0.0452,-0.0295,-0.0068,0.9985,0.001,,,,,,,
8,Right,20,0.0003,0.0016,0.0243,0.0000,0.0000,0.0000,1.0000,0.001,,,,,,,
8,Right,21,0.0230,-0.0094,0.0341,0.0183,0.1403,-0.2070,0.9681,0.001,,,,,,,
8,Right,22,0.0000,0.0000,0.0457,0.1856,0.0036,0.0843,0.9790,0.001,,,,,,,
8,Right,23,0.0000,0.0000,0.0307,0.1262,0.0372,-0.0495,0.9901,0.001,,,,,,,
8,Right,24,0.0000,0.0000,0.0203,0.0037,-0.0492,0.0007,0.9988,0.001,,,,,,,
8,Right,25,-0.0002,0.0012,0.0219,0.0000,0.0000,0.0000,1.0000,0.001,,,,,,,
9,Left,0,0.0030,-0.0048,0.0646,0.0000,0.0000,0.0000,1.0000,0.001,,,,,,,
9,Left,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.001,0.4337,-0.2095,0.0094,-0.0743,-0.5922,-0.7978,0.0858
9,Left,2,0.0315,-0.0136,0.0332,-0.1501,0.3537,-0.5173,0.7647,0.001,,,,,,,
9,Left,3,0.0000,0.0000,0.0325,0.1615,-0.0558,0.0825,0.9818,0.001,,,,,,,
9,Left,4,0.0000,0.0000,0.0338,0.0788,0.0537,-0.0802,0.9922,0.001,,,,,,,
9,Left,5,-0.0007,0.0010,0.0246,0.0000,0.0000,0.0000,1.0000,0.001,,,,,,,
9,Left,6,0.0205,-0.0082,0.0358,0.0000,0.0000,0.0000,1.0000,0.001,,,,,,,
9,Left,7,0.0031,0.0009,0.0602,0.1136,-0.0503,-0.0297,0.9918,0.001,,,,,,,
9,Left,8,0.0000,0.0000,0.0379,0.2330,-0.0010,0.0263,0.9721,0.001,,,,,,,
9,Left,9,0.0000,0.0000,0.0243,0.1398,-0.0235,0.0170,0.9898,0.001,,,,,,,
9,Left,10,-0.0003,0.0010,0.0224,0.0000,0.0000,0.0000,1.0000,0.001,,,,,,,
9,Left,11,0.0042,-0.0070,0.0337,0.0000,0.0000,0.0000,1.0000,0.001,,,,,,,
9,Left,12,-0.0025,0.0045,0.0620,0.1625,-0.1139,0.0218,0.9799,0.001,,,,,,,
9,Left,13,0.0000,0.0000,0.0429,0.2777,-0.0011,0.0126,0.9606,0.001,,,,,,,
9,Left,14,0.0000,0.0000,0.0275,0.1260,0.0050,0.0557,0.9905,0.001,,,,,,,
9,Left,15,-0.0003,0.0011,0.0250,0.0000,0.0000,0.0000,1.0000,0.001,,,,,,,
9,Left,16,-0.0150,-0.0060,0.0348,0.0000,0.0000,0.0000,1.0000,0.001,,,,,,,
9,Left,17,-0.0025,-0.0005,0.0539,0.1762,-0.1363,0.0699,0.9724,0.001,,,,,,,
9,Left,18,0.0000,0.0000,0.0390,0.2377,0.0051,0.0386,0.9705,0.001,,,,,,,
9,Left,19,0.0000,0.0000,0.0266,0.1273,0.0297,0.0106,0.9914,0.001,,,,,,,
9,Left,20,-0.0003,0.0016,0.0243,0.0000,0.0000,0.0000,1.0000,0.001,,,,,,,
9,Left,21,-0.0230,-0.0094,0.0341,0.0183,-0.1403,0.2070,0.9681,0.001,,,,,,,
9,Left,22,0.0000,0.0000,0.0457,0.1778,-0.0575,-0.0752,0.9795,0.001,,,,,,,
9,Left,23,0.0000,0.0000,0.0307,0.2044,-0.0336,0.0559,0.9767,0.001,,,,,,,
9,Left,24,0.0000,0.0000,0.0203,0.0353,0.0491,-0.0009,0.9982,0.001,,,,,,,
9,Left,25,0.0002,0.0012,0.0219,0.0000,0.0000,0.0000,1.0000,0.001,,,,,,,
9,Right,0,-0.0027,-0.0051,0.0649,0.0000,0.0000,0.0000,1.0000,0.001,,,,,,,
9,Right,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.001,-0.0449,-0.3027,0.1074,0.0008,0.5904,0.8027,-0.0845
9,Right,2,-0.0304,-0.0158,0.0343,-0.1110,-0.3470,0.5583,0.7454,0.001,,,,,,,
9,Right,3,0.0000,0.0000,0.0325,0.2391,0.0483,-0.0813,0.9664,0.001,,,,,,,
